gyroid p0.3: R48:0.00 | R64:0.00 | R96:0.00
gyroid p0.5: R48:0.00 | R64:0.00 | R96:0.00
gyroid p0.65: R48:0.38 | R64:0.21 | R96:0.10
gyroid p0.8: R48:0.38 | R64:0.21 | R96:0.10
diamond p0.3: R48:0.00 | R64:0.00 | R96:0.00
diamond p0.5: R48:0.38 | R64:0.21 | R96:0.10
diamond p0.65: R48:0.38 | R64:0.21 | R96:0.10
diamond p0.8: R48:0.38 | R64:0.21 | R96:0.10
schwarz p0.3: R48:-2.03 | R64:-1.59 | R96:-0.84
schwarz p0.5: R48:-2.03 | R64:-1.59 | R96:-0.84
schwarz p0.65: R48:6.51 | R64:4.88 | R96:1.89
schwarz p0.8: R48:6.52 | R64:4.88 | R96:1.90
neovius p0.3: R48:11.86 | R64:4.85 | R96:4.90
neovius p0.5: R48:11.86 | R64:4.84 | R96:4.90
neovius p0.65: R48:6.95 | R64:9.45 | R96:4.36
neovius p0.8: R48:6.95 | R64:9.45 | R96:4.37
iwp p0.3: R48:6.49 | R64:10.56 | R96:5.01
iwp p0.5: R48:6.49 | R64:10.56 | R96:5.01
iwp p0.65: R48:18.51 | R64:16.14 | R96:10.29
iwp p0.8: R48:18.51 | R64:16.15 | R96:10.30
frd p0.3: R48:9.77 | R64:3.59 | R96:6.18
frd p0.5: R48:9.77 | R64:3.59 | R96:6.18
frd p0.65: R48:-10.30 | R64:5.43 | R96:11.02
frd p0.8: R48:-10.30 | R64:5.42 | R96:11.02
lidinoid p0.3: R48:0.00 | R64:0.00 | R96:0.00
lidinoid p0.5: R48:0.38 | R64:0.21 | R96:0.10
lidinoid p0.65: R48:0.38 | R64:0.21 | R96:0.10
lidinoid p0.8: R48:0.38 | R64:0.21 | R96:0.10
splitp p0.3: R48:0.96 | R64:1.28 | R96:0.42
splitp p0.5: R48:0.02 | R64:-1.06 | R96:0.40
splitp p0.65: R48:0.02 | R64:-1.06 | R96:0.40
splitp p0.8: R48:0.02 | R64:-1.07 | R96:0.40
